keyword,location,radius,postedwithin
trainee,bradford,30,10
junior,bradford,30,10
entry-level,bradford,30,10
trainee,manchester,30,10
junior,manchester,30,10
entry-level,manchester,30,10
trainee,stoke-on-trent,30,10
junior,stoke-on-trent,30,10
entry-level,stoke-on-trent,30,10
