keyword,location,radius,postedwithin
reports-developer,manchester,10,1
data-analyst,manchester,20,1
bi-developer,bradford,10,1
reports-developer,bradford,10,1
bi-developer,manchester,30,1
reports-developer,stoke-on-trent,10,1
